,Date,Startup Name,Industry,Sub-Vertical,City,Investors’ Name,Investment Type,Amount (In USD)
579,2017-08-02,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,"500,000"
580,2016-09-20,JustLikeNew,ECommerce,Online gadget Repair Services Marketplace,Hyderabad,LetsVenture,Seed Funding,"500,000"
581,2018-07-26,TheCapitalNet,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,"500,000"
582,2015-06-16,CouponRaja,Online Coupon & comparison platform,Online Coupon & comparison platform,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee & others",Seed Funding,"500,000"
583,2017-06-22,Explore Life traveling,Consumer Internet,Local homes booking platform,Bengaluru,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,"500,000"
584,2015-06-24,Retention.ai,App Analytics platform,App Analytics platform,Bengaluru,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",Seed Funding,"500,000"
585,2016-08-24,Uber Dreams,ECommerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding,"500,000"
586,2015-11-11,RenewBuy,Auto Insurance Online platform,Auto Insurance Online platform,Gurugram,Mount Nathan Advisors Pte Ltd,Seed Funding,"500,000"
587,2015-06-05,kWatt Solutions,Renewable energy solutions,Renewable energy solutions,Mumbai,,Seed Funding,"500,000"
588,2015-08-10,MyTaxiIndia,Taxi Rental platform,Taxi Rental platform,Gurugram,"Nihon Kotsu,",Private Equity,"500,000"
589,2016-04-06,gear6,Consumer Internet,Online bike service and repairs platform,Bengaluru,Ninestarter,Seed Funding,"500,000"
590,2016-10-11,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurugram,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,"500,000"
591,2015-08-21,ePoise,Job Search Platform,Job Search Platform,Bengaluru,"Orios Venture Partners, Amit Ranjan & others",Seed Funding,"500,000"
592,2015-03-09,Bite Club,Industry / Vertical,Sub-Vertical,City / Location,"Powai Lake Ventures, Aneesh Reddy, Ashish Kashyap, Alok Mittal",Seed Funding,"500,000"
593,2016-08-16,Joolz,ECommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,"500,000"
594,2015-11-09,AppVirality,Mobile Growth Hacking,Mobile Growth Hacking,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,  Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding,"500,000"
595,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,"500,000"
596,2015-08-06,Appvigil,App security  testing platform,App security  testing platform,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,"500,000"
597,2016-04-29,Impact Guru,Consumer Internet,Online Crowdfunding platform for NGOs & Social Projects,Mumbai,"RB Investments, Fundnel",Seed Funding,"500,000"
598,2016-03-07,Reach,Consumer Internet,Cross Platform P2P file sharing mobile app,Bengaluru,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",Seed Funding,"500,000"
599,2015-12-22,Doctor Insta,Medical Consultation & Doctor appointment booking platform,Medical Consultation & Doctor appointment booking platform,Gurugram,"Rishi Parti, BrahmaX Ventures",Private Equity,"500,000"
600,2016-01-21,Fisdom,Consumer Internet,Personal Finance Mobile App,Bengaluru,Rob Chandra,Seed ,"500,000"
601,2017-05-16,Fynd,ECommerce,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,"500,000"
602,2016-03-07,N.O.W,Consumer Internet,Bike Taxi Service & Hyperlocal Delivery App,Noida,"Ruchirans Jaipuria, Anuj Sanghi",Seed Funding,"500,000"
603,2015-12-28,Bumper,Mobile Car Servicing appointment app,Mobile Car Servicing appointment app,Bengaluru,SAIF Partners,Seed Funding,"500,000"
604,2016-11-30,Pulse,Consumer Internet,Campus Social Networking App,Bengaluru,SAIF Partners,Private Equity,"500,000"
605,2015-05-22,EveningFlavors,Online Table Reservation,Online Table Reservation,Bengaluru,Sandiep Shrivatsava,Seed Funding,"500,000"
606,2015-10-06,WorkIndia,Job Board,Job Board,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Seed Funding,"500,000"
607,2017-02-17,Imaginate,Technology,AR & VR platform,Hyderabad,SRI Capital,Seed Funding,"500,000"
608,2015-06-01,Arth DesignBuild,Architectural Design & Consulting,Architectural Design & Consulting,Hyderabad,Srinivas Tirupati,Seed Funding,"500,000"
609,2015-07-14,WoWexpress,Tech enabled logistics platform,Tech enabled logistics platform,Mumbai,Tamarind Family Private Trust,Seed Funding,"500,000"
610,2015-04-29,PiQube,Hiring Analytics platform,Hiring Analytics platform,Chennai,The HR Fund,Seed Funding,"500,000"
611,2016-11-30,Carcrew.in,Consumer Internet,Online Car repair Marketplace,Mumbai,TVS Group,Seed Funding,"500,000"
612,2016-05-19,TaxiVaxi,Consumer Internet,Cab Aggregating Platform,Delhi,Undisclosed HNIs,Seed Funding,"500,000"
613,2015-08-26,FoodTalkIndia,Online Food Community Platform,Online Food Community Platform,Gurugram,Undisclosed Investor,Seed Funding,"500,000"
614,2017-10-18,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Funding,"500,000"
615,2016-03-03,Shouut,Consumer Internet,Social Discovery Mobile app,Delhi,Undisclosed investor,Seed Funding,"500,000"
616,2016-08-12,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurugram,Undisclosed Investors,Seed Funding,"500,000"
617,2017-12-05,Mobycy,Technology,Bicycle sharing Platform,Gurugram,Undisclosed Investors,Seed/Angel Funding,"500,000"
618,2017-01-17,Hoopy,Consumer Internet,Online Car Service Platform,Gwalior,undisclosed investors,Seed Funding,"500,000"
619,2016-09-06,CheersOye!,Consumer Internet,Online Gift Vouchers platform,Mumbai,Undisclosed Investors,Seed Funding,"500,000"
620,2017-06-14,MrNeeds,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed Funding,"500,000"
621,2015-10-26,Flexing It,Professionals & Project Search Marketplace,Professionals & Project Search Marketplace,Delhi,undisclosed private investors,Seed Funding,"500,000"
622,2020-07-13,Open Appliances Pvt. Ltd.,Information Technology,Internet-of-Things Security Solutions,Bengaluru,Unicorn India Ventures,Venture-Series Unknown,"500,000"
623,2017-06-12,Boxx.ai,Technology,Artificial Intelligence,Bengaluru,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,"500,000"
624,2015-02-24,Caravan Craft Retail,Industry / Vertical,Sub-Vertical,City / Location,Unitus Seed Fund,Seed,"500,000"
625,2016-09-28,Beardo,ECommerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding,"500,000"
626,2017-11-03,Kalpnik Technologies,Technology,VR based Spiritual platform,Bengaluru,Venture Catalysts,Seed Funding,"500,000"
627,2018-11-14,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,"500,000"
628,2017-03-28,Fynd,ECommerce,Online fashion marketplace,Mumbai,Venture Catalysts,Private Equity,"500,000"
629,2017-10-24,FYRE,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding,"500,000"
630,2015-08-07,EasyRewardz,Loyalty Programs & Reward Points,Loyalty Programs & Reward Points,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,"500,000"
631,2016-07-01,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,"500,000"
632,2016-01-22,Silvan,Technology,Home Automation & Security Solutions,Bengaluru,The Chennai Angels,Seed ,"515,000"
633,2015-02-03,Frsh.co.in,Industry / Vertical,Sub-Vertical,City / Location,"India Quotient, Kae Capital",Seed,"518,000"
634,2016-01-14,Orahi,Consumer Internet,Carpooling Mobile App,Gurugram,Indian Angel Network,Seed Funding,"520,000"
635,2015-11-17,BiBox,Kids Tool kit for Innovation platform,Kids Tool kit for Innovation platform,Bengaluru,Ravi Krishnamurthy,Seed Funding,"530,000"
636,2017-12-15,Purplle,ECommerce,Beauty Products Online Marketplace,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,"537,000"
637,2017-07-14,QwikSpec,Technology,Construction site operations and analytics platform,Bengaluru,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,"540,000"
638,2015-11-30,Superhero Brands,character merchandize sales platform,character merchandize sales platform,Mumbai,DSG Consumer Partners,Seed Funding,"540,000"
639,2016-04-25,Dropkaffe,Food & Beverage,Ready-to-Drink Beverage Producer,Bengaluru,"GrowthStory, Apurva Salapuria, Hitesh Oberoi, Sidharth Pansari, Nirupa Shankar",Seed Funding,"550,000"
640,2017-10-25,SpotDraft,Consumer Internet,Contract Automation,Gurugram,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,"550,000"
641,2015-06-01,Proviera,Probiotic Technology Products Manufacturer,Probiotic Technology Products Manufacturer,Chennai,Infuse Ventures,Private Equity,"550,000"
642,2015-05-04,Applicate,Workforce Management Software,Workforce Management Software,Bengaluru,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,"550,000"
643,2016-08-26,MyDidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,"550,000"
644,2017-11-02,Prest Loans,Finance,Business & SME Loans provider,Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,"570,000"
645,2018-12-02,Career Anna ,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A ,"572,000"
646,2017-05-24,GenNext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,"580,000"
647,2016-07-20,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,"595,000"
648,2016-07-21,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bengaluru,Indian Angel Network,Seed Funding,"595,000"
649,2017-05-10,Fourth Ambit,Consumer Internet,Community Building platform,Bengaluru,1Crowd,Seed Funding,"600,000"
650,2017-07-19,Playablo,Technology,Gamified Learning App,Bengaluru,ABI-Showatech (India) Ltd,Seed Funding,"600,000"
651,2015-08-20,Bluegape.com,Visual Blogging platform,Visual Blogging platform,Delhi,"ah! Ventures, Times Internet, Rudy Gopalakrishnan",Seed Funding,"600,000"
652,2016-04-28,The Wedding Brigade,Consumer Internet,Online Wedding Information Portal,Mumbai,Blume Ventures & Other unnamed Investors,Seed Funding,"600,000"
653,2015-11-17,Julia Computing,Numerical Computing & Data Science Platform,Numerical Computing & Data Science Platform,Bengaluru,Gordon and Betty Moore Foundation,Seed Funding,"600,000"
654,2015-09-17,Bueno,Online Food ordering & delivery,Online Food ordering & delivery,Gurugram,High Networth Individuals (No details),Seed Funding,"600,000"
655,2017-04-18,Whodat,Technology,Markerless AR platform,Bengaluru,Ideaspring Capital,Private Equity,"600,000"
656,2017-03-10,Lavelle Networks,Technology,SDN Solutions,Bengaluru,Ideaspring Capital,Seed Funding,"600,000"
657,2016-11-23,Infisecure,Technology,Bot Protection Solutions,Mumbai,"IDG Ventures, Axilor Ventures",Seed Funding,"600,000"
658,2015-08-20,Flatpebble,Online marketplace for Photographers,Online marketplace for Photographers,Hyderabad,Indian Angel Network,Seed Funding,"600,000"
659,2015-07-10,Infinity Assurance,Warranty Programs Service Administration,Warranty Programs Service Administration,Delhi,Indian Angel Network,Seed Funding,"600,000"
660,2016-03-22,DrivoJoy,Consumer Internet,On-demand 2-wheeler Servicing platform,Bengaluru,"Indian Angel Network, Tracxn Labs & Others",Seed Funding,"600,000"
661,2016-06-16,Unnati Helpers,Consumer Internet,Help Hiring Platform,Gurugram,Info Edge (India) Ltd,Private Equity,"600,000"
662,2015-11-11,Delight Foods,Branded Food products online sales,Branded Food products online sales,Bengaluru,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",Private Equity,"600,000"
663,2015-07-10,Footprints Education,Pre-School Chain,Pre-School Chain,Gurugram,"LetsVenture, Kumar Bansal, Kshitij Jain",Seed Funding,"600,000"
664,2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,"600,000"
665,2015-07-30,Pipa Bella,Online Jewelry Store,Online Jewelry Store,Mumbai,LionRock Capital,Private Equity,"600,000"
666,2015-01-06,Frankly,Industry / Vertical,Sub-Vertical,City / Location,Matrix Partners,Seed Funding,"600,000"
667,2017-09-05,Nest Education,Technology,EduTech Platform,Gurugram,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,"600,000"
668,2016-08-10,Bombay Shaving Company,ECommerce,Men’s Grooming Product etailer,Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,"600,000"
669,2015-09-07,YouthKiAwaaz,Community Driven News/Views Platform,Community Driven News/Views Platform,Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,"600,000"
670,2015-12-11,EureQa,Test Automation SAAS platform,Test Automation SAAS platform,Hyderabad/USA,"Sashi Reddi, Gabriel Investments",Seed Funding,"600,000"
671,2017-06-07,GrowFitter,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed Funding,"600,000"
672,2016-07-13,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurugram,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,"600,000"
673,2016-03-02,MoMark,Consumer Internet,Mobile Wallet Aggregation platform,Noida,YourNest Angel Fund,Private Equity,"600,000"
674,2017-04-17,Be U Salons,Consumer Internet,Online Salon discovery & Booking Services,Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,"620,000"
675,2015-05-22, Nudgespot,Customer Engagement Platform,Customer Engagement Platform,Bengaluru,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",Seed Funding,"625,000"
676,2015-07-01,HandyHome,Hyperlocal Electronics repair Service,Hyperlocal Electronics repair Service,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding,"630,000"
677,2015-08-07,Carl’s Jr,Fast food Chain Franchisee,Fast food Chain Franchisee,Gurugram,YouWeCan Ventures,Seed Funding,"630,000"
678,2015-10-21,Zenify.in,residential rental management platform,residential rental management platform,Bengaluru,"Atul Jalan, Shrikanth & Bharath",Seed Funding,"640,000"
679,2015-05-05,Seed Schools,Affordable Education,Affordable Education,Hyderabad,Acumen Fund,Seed Funding,"650,000"
680,2016-03-08,dunzo,Consumer Internet,Daily Task Management App,Bengaluru,"Aspada Investment Advisors, Blume Ventures.",Seed Funding,"650,000"
681,2016-11-21,numberz.in,Technology,Cash Flow Management Solution for Businesses,Gurugram,"Kae Capital, Khosla Impact",Seed Funding,"650,000"
682,2017-03-29,perpule,ECommerce,Self-Checkout ECommerce App,Bengaluru,KStart Capital,Seed Funding,"650,000"
683,2015-08-05,Grex,fund raising platform for startups,fund raising platform for startups,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,"650,000"
684,2017-01-18,Vahdam Teas,ECommerce,Online Tea etailer,Delhi,"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network",Seed Funding,"650,000"
685,2015-01-15,Wishberry,Industry / Vertical,Sub-Vertical,City / Location,"Rajan Anandan, Shankar Mahadevan, Deep Kalra & Others",Seed Funding,"650,000"
686,2016-07-18,Zuppler,Consumer Internet,Online Food Ordering platform,Delhi,SRI Capital,Seed Funding,"650,000"
687,2016-07-18,Yellowdig,Consumer Internet,Education/E-learning,Pune,SRI Capital,Seed Funding,"650,000"
688,2017-06-07,ZipLoan,Consumer Internet,Online Lending,Delhi,WaterBridge Ventures,Seed Funding,"650,000"
689,2016-09-08,TopRankers,Education,Online Test Preparation platform,Bengaluru,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,"670,000"
690,2016-08-17,Appknox,Technology,Mobile security solutions,Bengaluru,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,"675,000"
691,2017-11-20,ONN Bikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,"692,000"
692,2018-12-04,Manch,Social Media,Hyperlocal Content,Delhi, Stellaris Venture Partners ,Seed Funding,"700,000"
693,2016-10-27,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Bengaluru,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,"700,000"
694,2015-08-06,Ketto,Crowd funding platform,Crowd funding platform,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,"700,000"
695,2016-07-27,Byndr,Consumer Internet,Mobile learning management platform,Hyderabad,Education Design Studio,Seed Funding,"700,000"
696,2017-07-20,Trupay,Technology,Online payments platform,Gurugram,"Kae Capital, M&S Partners,",Seed Funding,"700,000"
697,2015-07-16,Ketto,Crowd Funding Platform,Crowd Funding Platform,Mumbai,"Pradyumna Dalmia, Sudhir Rao & Others",Seed Funding,"700,000"
698,2017-05-08,YepMe,ECommerce,Private Label Fashion etailer,Gurugram,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,"700,000"
699,2016-07-02,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bengaluru,SAIF Partners,Private Equity,"700,000"
700,2017-01-16,HipCouch,Consumer Internet,Custom & Modular Furniture platform,Mumbai,Undisclosed Investors,Seed Funding,"700,000"
701,2015-10-06,DocPlexus,Exclusive Platform for Doctors & Healthcare professionals,Exclusive Platform for Doctors & Healthcare professionals,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding,"700,000"
702,2017-10-24,Skillenza,Consumer Internet,Education/E-learning,Bengaluru,"Blume Ventures, Indian Angel Network",Seed Funding,"722,000"
703,2017-08-21,Cerebroz,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI’s,Seed Funding,"734,000"
704,2018-05-22,Cashkumar,Consumer Internet,P2P Lending Platform,Bengaluru,LetsVenture,Seed/ Angel Funding,"735,000"
705,2018-05-23,Edyoo,ECommerce,Products For Shoolgoing Children,Bengaluru,RS Shanbag,Seed/ Angel Funding,"735,000"
706,2016-07-06,HappilyUnmarried,ECommerce,Online Merchandize etailer,Delhi,Info Edge (India) Ltd,Private Equity,"740,000"
707,2016-09-22,PharmaRack,Technology,SAAS application for Pharma Industry,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,"745,000"
708,2016-10-30,Impact Analytics,Technology,Business intelligence and data science Startup,Bengaluru,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,"750,000"
709,2016-09-19,Milofy,Consumer Internet,Couple Socialization App,Bengaluru,Accel Partners,Seed Funding,"750,000"
710,2017-04-28,Sepalika,Consumer Internet,Healthcare related content platform,Delhi,Accel Partners,Seed Funding,"750,000"
711,2016-01-06,Justdakhila.com,Education,School Student admissions platform,Delhi,Ankur Gupta,Seed Funding,"750,000"
712,2017-08-29,Doxper,Technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,"750,000"
713,2015-11-02,CityFlo,Bus Aggregation and rental mobile app,Bus Aggregation and rental mobile app,Mumbai,IDG Ventures,Seed Funding,"750,000"
714,2016-01-06,Sensara,Technology,"TV Search, Guide and Remote mobile app",Bengaluru,"Lalitesh Katragadda,  Ganayantrika Systems",Seed Funding,"750,000"
715,2016-10-19,Actofit,Technology,Wearable Technology platform & devices,Mumbai,Next Orbit Ventures Fund,Private Equity,"750,000"
716,2016-03-08,LoveCycles,Consumer Internet,Women’s health Tracker,Bengaluru,Prime Venture Partners,Seed Funding,"750,000"
717,2016-04-13,kredX,ECommerce,Invoice discounting  Marketplace,Bengaluru,"Prime Venture Partners,",Seed Funding,"750,000"
718,2017-12-07,Cygnus Hospitals,Healthcare,Super speciality Hospitals,Gurugram,Somerset Indus Capital Ventures,Seed/Angel Funding,"750,000"
719,2017-08-25,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,"750,000"
720,2015-12-22,Arya.ai,Artificial Intelligence platform,Artificial Intelligence platform,Mumbai,"YourNest Angel Fund, Venture Nursery",Private Equity,"750,000"
721,2018-03-22,i2i Funding,Consumer Internet,Online loan platform,Noida,SucSEED Venture Partners,Seed / Angel Funding,"768,000"
722,2015-09-10,OnlineTyari,Multilingual Test Preparation Platform,Multilingual Test Preparation Platform,Gurugram,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,"770,000"
723,2015-08-12,Sheroes,Career Community for Women,Career Community for Women,Noida,"Quintillion Media, 500 Startups",Seed Funding,"770,000"
724,2018-02-26,Avishkaar Box,Ed-Tech,Education/E-learning,Delhi,Auxano Deals,Private Equity,"772,500"
725,2017-06-12,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,"776,000"
726,2017-09-13,Heterogenous,Technology,Telecom & IoT platform,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,"780,000"
727,2017-09-07,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt Funding,"780,000"
728,2017-08-09,CroFarm,Technology,Agriculture Supply Chain solutions,Gurugram,Factor[e] Ventures,Seed Funding,"783,000"
729,2015-08-05,Sunday Realty Solutions,Tech Platform for property brokers,Tech Platform for property brokers,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,"785,000"
730,2015-07-14,WickedRide,Bike Rental Platform,Bike Rental Platform,Bengaluru,Undisclosed,Seed Funding,"790,000"
731,2017-01-10,Intelligence Node,Technology,SAAS Based Retail Analytics Solutions,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,"800,000"
732,2015-05-19,Springleap,Industry / Vertical,Sub-Vertical,City / Location,Cross Border Angels,Seed,"800,000"
733,2018-12-02, Guiddoo ,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A ,"800,000"
734,2017-01-17,Curiositi,Consumer Internet,Education/E-learning,Bengaluru,"Menterra Social Impact Fund, Unitus Seed Fund",Private Equity,"800,000"
735,2015-09-22,Virtual Logic,"virtual reality, 3d simulation and stereoscopic products","virtual reality, 3d simulation and stereoscopic products",Bengaluru,Swarnim Multiventures,Private Equity,"800,000"
736,2016-03-17,HealthEnablr,Consumer Internet,Doctor Discovery and booking platform,Mumbai,Undisclosed investors,Seed Funding,"800,000"
737,2017-01-03,TempoGo,Technology,IoT & SAAS Solutions for Transportation Industry,Panaji,K2 Capital,Seed Funding,"825,000"
738,2015-01-29,Graphene,Industry / Vertical,Sub-Vertical,City / Location,KARSEMVEN Fund,Private Equity,"825,000"
739,2016-07-29,GoCoop,ECommerce,Social Marketplace for Cooperative Enterprises,Bengaluru,"Kris Gopalakrishnan, Saha Fund",Private Equity,"830,000"
740,2017-08-02,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,"850,000"
741,2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners, Venture - Series Unknown,"868,600"
742,2017-11-09,NoPaperForms,Technology,Enrolment Management Platform,Delhi,Info Edge,Seed Funding,"872,000"
743,2016-08-03,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,"890,000"
744,2015-04-10,Whatfix,Interactive  How-To Guides,Interactive  How-To Guides,Bengaluru,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,"900,000"
745,2016-09-06,BigStylist,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Mumbai,Info Edge (India) Ltd,Private Equity,"900,000"
746,2016-06-17,Silvan Innovation Labs,Technology,Home Automation Solutions,Bengaluru,Infuse Ventures,Private Equity,"900,000"
747,2016-08-24,Convegenius,Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,"900,000"
748,2015-09-01,Luxuryhues,Luxury goods  Shopping Platform,Luxury goods  Shopping Platform,Gurugram,Reliance Capital,Private Equity,"900,000"
749,2016-05-11,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bengaluru,Undisclosed Investors,Private Equity,"900,000"
750,2017-11-15,Sumeru,Technology,Banking Software License Platform,Bengaluru,Undisclosed Investors,Seed Funding,"900,000"
751,2020-07-16,Crio,EduTech,Learning Platform for Developers,Bengaluru,021 Capital,pre-Series A,"934,160"
752,2018-02-12,Cashify,ECommerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,"935,089"
753,2018-05-11,Earth Food,Consumer Internet,Agri-tech,Pune,Rairah Corporation,Seed / Angel Funding,"949,000"
754,2016-11-30,ShopsUp,ECommerce,Hyperlocal Shopping App,Bengaluru,"Anand Sankeshwar, Yang Shu",Seed Funding,"963,000"
755,2016-02-16,BetterPlace,Technology,Data analytics based Verification services Platform,Bengaluru,Unitus Seed Fund,Seed Funding,"970,000"
756,2016-10-27,FR8,Technology,Truck Fleet Operation platform,Chennai,Omnivore Partners,Private Equity,"971,000"
757,2020-07-10,gigIndia,Marketplace,"Crowd Sourcing, Freelance",Pune,Incubate Fund India and Beyond Next Ventures,pre-Series A,"974,200"
758,2018-04-30,MyLoanCare,Finance,B2C Online Loans Marketplace,Gurugram,SAR Group,Seed / Angel Funding,"978,000"
759,2016-11-04,Connect India,Logistics,Last mile Delivery Network,Bengaluru,Aavishkaar Venture Management,Private Equity,"1,000,000"
760,2017-06-29,Fitpass,Consumer Internet,Online Fitness Marketplace,Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,"1,000,000"
761,2015-09-30,Eywa Media,Digital Signal processing platform,Digital Signal processing platform,Bengaluru,ah! Ventures,Seed Funding,"1,000,000"
762,2015-02-16,iTraveller.com,Industry / Vertical,Sub-Vertical,City / Location,ah! Ventures,Private Equity,"1,000,000"
763,2018-08-09,Happy EMI,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,"1,000,000"
764,2018-07-02,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,"1,000,000"
765,2017-05-08,MyGreens,Food & Beverage,Cold-press Juices manufacturer,Delhi,"Ajay Relan, LetsVenture",Seed Funding,"1,000,000"
766,2016-02-12,Bonhomia,Food & Beverage,premium Tea and Coffee,Delhi,"Alok Rawat, Grey Orange Robotics",Seed Funding,"1,000,000"
767,2020-06-10,Hapramp,"Block Chain, Cryptocurrency","Block Chain, Cryptocurrency",Gurugram,Anand Mahindra,Seed,"1,000,000"
768,2015-09-15,Tea Trails,Chain of Tea Café’s,Chain of Tea Café’s,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding,"1,000,000"
