,Team,Year,Wins,Losses,Win%,Goals For,Goals Against,+/-
527,Carolina Hurricanes,2010,40,31,,236,239,
528,Columbus Blue Jackets,2010,34,35,,215,258,
529,Chicago Blackhawks,2010,44,29,0.537,258,225,33
530,Colorado Avalanche,2010,30,44,,227,288,
531,Dallas Stars,2010,42,29,0.512,227,233,
532,Detroit Red Wings,2010,47,25,0.573,261,241,20
533,Edmonton Oilers,2010,25,45,,193,269,
534,Florida Panthers,2010,30,40,,195,229,
535,Los Angeles Kings,2010,46,30,0.561,219,198,21
536,Minnesota Wild,2010,39,35,,206,233,
537,Montreal Canadiens,2010,44,30,0.537,216,209,7
538,Nashville Predators,2010,44,27,0.537,219,194,25
539,New Jersey Devils,2010,38,39,,174,209,
540,New York Islanders,2010,30,39,,229,264,
541,New York Rangers,2010,44,33,0.537,233,198,35
542,Ottawa Senators,2010,32,40,,192,250,
543,Philadelphia Flyers,2010,47,23,0.573,259,223,36
544,Phoenix Coyotes,2010,43,26,0.524,231,226,5
545,Pittsburgh Penguins,2010,49,25,0.598,238,199,39
546,San Jose Sharks,2010,48,25,0.585,248,213,35
547,St. Louis Blues,2010,38,33,,240,234,6
548,Tampa Bay Lightning,2010,46,25,0.561,247,240,7
549,Toronto Maple Leafs,2010,37,34,,218,251,
550,Vancouver Canucks,2010,54,19,0.659,262,185,77
551,Washington Capitals,2010,48,23,0.585,224,197,27
552,Anaheim Ducks,2011,34,36,,204,231,
553,Boston Bruins,2011,49,29,0.598,269,202,67
554,Buffalo Sabres,2011,39,32,,218,230,
555,Calgary Flames,2011,37,29,,202,226,
556,Carolina Hurricanes,2011,33,33,,213,243,
557,Columbus Blue Jackets,2011,29,46,,202,262,
558,Chicago Blackhawks,2011,45,26,0.549,248,238,10
559,Colorado Avalanche,2011,41,35,0.5,208,220,
560,Dallas Stars,2011,42,35,0.512,211,222,
561,Detroit Red Wings,2011,48,28,0.585,248,203,45
562,Edmonton Oilers,2011,32,40,,212,239,
563,Florida Panthers,2011,38,26,,203,227,
564,Los Angeles Kings,2011,40,27,,194,179,15
565,Minnesota Wild,2011,35,36,,177,226,
566,Montreal Canadiens,2011,31,35,,212,226,
567,Nashville Predators,2011,48,26,0.585,237,210,27
568,New Jersey Devils,2011,48,28,0.585,228,209,19
569,New York Islanders,2011,34,37,,203,255,
570,New York Rangers,2011,51,24,0.622,226,187,39
571,Ottawa Senators,2011,41,31,0.5,249,240,9
572,Philadelphia Flyers,2011,47,26,0.573,264,232,32
573,Phoenix Coyotes,2011,42,27,0.512,216,204,12
574,Pittsburgh Penguins,2011,51,25,0.622,282,221,61
575,San Jose Sharks,2011,43,29,0.524,228,210,18
576,St. Louis Blues,2011,49,22,0.598,210,165,45
577,Tampa Bay Lightning,2011,38,36,,235,281,
578,Toronto Maple Leafs,2011,35,37,,231,264,
579,Vancouver Canucks,2011,51,22,0.622,249,198,51
580,Washington Capitals,2011,42,32,0.512,222,230,
581,Winnipeg Jets,2011,37,35,,225,246,
